Study,Date,Hours
Planning,9/4,0.92
Data Science,9/5,0.4
Leitura,9/5,0
Japanese,9/5,0
SQL,9/5,0
Python,9/5,0.12
Faculdade,9/5,2.67
Other,9/5,1.72
Soft Skills,9/5,0
PowerBI,9/5,0
Networking and linkedin,9/5,0
Planning,9/5,0
Data Science,9/6,0
Leitura,9/6,0
Japanese,9/6,0
SQL,9/6,0
Python,9/6,0
Faculdade,9/6,0.33
Other,9/6,2.48
Soft Skills,9/6,0
PowerBI,9/6,0
Networking and linkedin,9/6,0
Planning,9/6,0
Data Science,9/7,1
Leitura,9/7,0
Japanese,9/7,0
SQL,9/7,0
Python,9/7,0
Faculdade,9/7,0
Other,9/7,0
Soft Skills,9/7,0
PowerBI,9/7,0
Networking and linkedin,9/7,0
Planning,9/7,0
Data Science,9/8,0
Leitura,9/8,0
Japanese,9/8,0
SQL,9/8,0
Python,9/8,0
Faculdade,9/8,0
Other,9/8,0
Soft Skills,9/8,0
PowerBI,9/8,0
Networking and linkedin,9/8,0
Planning,9/8,0
Data Science,9/9,0.75
Leitura,9/9,0
Japanese,9/9,0
SQL,9/9,0
Python,9/9,0.25
Faculdade,9/9,2
Other,9/9,1.08
Soft Skills,9/9,0
PowerBI,9/9,0
Networking and linkedin,9/9,0.93
Planning,9/9,0
Data Science,9/10,0.72
Leitura,9/10,0
Japanese,9/10,0
SQL,9/10,0
Python,9/10,0
Faculdade,9/10,3.15
Other,9/10,0
Soft Skills,9/10,0
PowerBI,9/10,0
Networking and linkedin,9/10,0.9
Planning,9/10,0
Data Science,9/11,0
Leitura,9/11,0
Japanese,9/11,0
SQL,9/11,0
Python,9/11,0
Faculdade,9/11,3.25
Other,9/11,0.25
Soft Skills,9/11,0
PowerBI,9/11,0
Networking and linkedin,9/11,1.5
Planning,9/11,0
Data Science,9/12,0
Leitura,9/12,0
Japanese,9/12,0
SQL,9/12,0
Python,9/12,0
Faculdade,9/12,0
Other,9/12,4.45
Soft Skills,9/12,0
PowerBI,9/12,0
Networking and linkedin,9/12,0
Planning,9/12,0
Data Science,9/13,0
Leitura,9/13,0
Japanese,9/13,0
SQL,9/13,0
Python,9/13,0
Faculdade,9/13,3.5
Other,9/13,0.5
Soft Skills,9/13,0
PowerBI,9/13,0
Networking and linkedin,9/13,0
Planning,9/13,0
Data Science,9/14,0
Leitura,9/14,0
Japanese,9/14,0
SQL,9/14,0
Python,9/14,0
Faculdade,9/14,1.5
Other,9/14,0
Soft Skills,9/14,0
PowerBI,9/14,0
Networking and linkedin,9/14,0
Planning,9/14,0
Data Science,9/15,0
Leitura,9/15,0
Japanese,9/15,0
SQL,9/15,0
Python,9/15,0
Faculdade,9/15,0
Other,9/15,0
Soft Skills,9/15,0
PowerBI,9/15,0
Networking and linkedin,9/15,1.1
Planning,9/15,0
Data Science,9/16,1.15
Leitura,9/16,0
Japanese,9/16,0
SQL,9/16,0.87
Python,9/16,0.92
Faculdade,9/16,0
Other,9/16,2.37
Soft Skills,9/16,0
PowerBI,9/16,0
Networking and linkedin,9/16,0
Planning,9/16,0
Data Science,9/17,0
Leitura,9/17,0
Japanese,9/17,0
SQL,9/17,0
Python,9/17,0
Faculdade,9/17,0
Other,9/17,3
Soft Skills,9/17,0
PowerBI,9/17,0
Networking and linkedin,9/17,0.25
Planning,9/17,0
Data Science,9/18,0
Leitura,9/18,0
Japanese,9/18,0
SQL,9/18,0
Python,9/18,0
Faculdade,9/18,1.28
Other,9/18,0.5
Soft Skills,9/18,0
PowerBI,9/18,0
Networking and linkedin,9/18,0.25
Planning,9/18,0
Data Science,9/19,1.53
Leitura,9/19,0
Japanese,9/19,0
SQL,9/19,0
Python,9/19,0
Faculdade,9/19,1.85
Other,9/19,0
Soft Skills,9/19,0
PowerBI,9/19,0
Networking and linkedin,9/19,0
Planning,9/19,0
Data Science,9/20,1.65
Leitura,9/20,0
Japanese,9/20,0
SQL,9/20,0
Python,9/20,0
Faculdade,9/20,0
Other,9/20,0
Soft Skills,9/20,0
PowerBI,9/20,0
Networking and linkedin,9/20,1.25
Planning,9/20,0
Data Science,9/21,0
Leitura,9/21,0
Japanese,9/21,0
SQL,9/21,0
Python,9/21,0
Faculdade,9/21,2
Other,9/21,0
Soft Skills,9/21,0
PowerBI,9/21,0
Networking and linkedin,9/21,0
Planning,9/21,0
Data Science,9/22,0
Leitura,9/22,0.25
Japanese,9/22,0
SQL,9/22,0
Python,9/22,0
Faculdade,9/22,1
Other,9/22,0
Soft Skills,9/22,0
PowerBI,9/22,0
Networking and linkedin,9/22,0
Planning,9/22,0
Data Science,9/23,0.74
Leitura,9/23,0
Japanese,9/23,0
SQL,9/23,1
Python,9/23,0
Faculdade,9/23,0.5
Other,9/23,1.08
Soft Skills,9/23,0
PowerBI,9/23,0.75
Networking and linkedin,9/23,0.83
Planning,9/23,0.25
Data Science,9/24,2.7
Leitura,9/24,0
Japanese,9/24,0
SQL,9/24,0
Python,9/24,0.12
Faculdade,9/24,0
Other,9/24,0
Soft Skills,9/24,0
PowerBI,9/24,0
Networking and linkedin,9/24,2.07
Planning,9/24,0
Data Science,9/25,1.33
Leitura,9/25,0
Japanese,9/25,0
SQL,9/25,0
Python,9/25,0
Faculdade,9/25,0
Other,9/25,1.7
Soft Skills,9/25,0
PowerBI,9/25,0
Networking and linkedin,9/25,2.2
Planning,9/25,0
Data Science,9/26,2.25
Leitura,9/26,0.3
Japanese,9/26,0
SQL,9/26,0
Python,9/26,0
Faculdade,9/26,0
Other,9/26,0
Soft Skills,9/26,0
PowerBI,9/26,0
Networking and linkedin,9/26,2.75
